Date,Bateria,Latencia,CPU,Memoria
2022-08-18 10:27:18.533740,62.3,26.0,69.3,38
2022-08-18 10:27:18.533740,69.3,51.7,61.9,88
2022-08-18 10:27:18.533740,68.4,45,61.9,15
2022-08-18 10:27:18.533740,69.3,8,69.3,28
2022-08-18 10:27:18.533740,61.9,63.5,61.9,38
2022-08-18 10:27:18.533740,62.3,63.5,61.9,88
2022-08-18 10:27:18.533740,68.4,51.7,68.4,15
2022-08-18 10:27:18.533740,68.4,26.0,62.3,38
2022-08-18 10:27:18.533740,61.9,63.5,62.3,15
2022-08-18 10:27:18.533740,69.3,26.0,61.9,28
2022-08-18 10:27:18.533740,69.3,26.0,61.9,15
2022-08-18 10:27:18.533740,68.4,51.7,61.9,88
2022-08-18 10:27:18.533740,69.3,26.0,68.4,28
2022-08-18 10:27:18.533740,62.3,51.7,68.4,38
2022-08-18 10:27:18.533740,61.9,8,69.3,38
2022-08-18 10:27:18.533740,68.4,45,69.3,38
2022-08-18 10:27:18.533740,69.3,45,69.3,88
2022-08-18 10:27:18.533740,62.3,51.7,69.3,28
2022-08-18 10:27:18.533740,69.3,45,61.9,38
2022-08-18 10:27:18.533740,62.3,26.0,69.3,15
2022-08-18 10:27:18.533740,68.4,8,62.3,38
2022-08-18 10:27:18.533740,61.9,45,62.3,88
2022-08-18 10:27:18.533740,61.9,26.0,61.9,28
2022-08-18 10:27:18.533740,69.3,8,61.9,88
2022-08-18 10:27:18.533740,61.9,63.5,61.9,15
2022-08-18 10:27:18.533740,69.3,8,69.3,38
2022-08-18 10:27:18.533740,68.4,45,61.9,15
2022-08-18 10:27:18.533740,69.3,51.7,61.9,38
2022-08-18 10:27:18.533740,69.3,63.5,62.3,38
2022-08-18 10:27:18.533740,61.9,63.5,69.3,28
Date,humid,temp,presao,vazao
2022-08-18 10:52:59.777492,61.9,29.0,8.630644368163662,1.7
2022-08-18 10:52:59.777492,69.3,26.0,8.400732134971879,1.7
2022-08-18 10:52:59.777492,61.9,29.0,7.903098747102709,0.8
2022-08-18 10:52:59.777492,69.3,29.0,8.706875608916059,0.8
2022-08-18 10:52:59.777492,68.4,29.0,8.798047990853966,1.7
2022-08-18 10:52:59.777492,68.4,26.0,8.083282717237985,1.7
2022-08-18 10:52:59.777492,69.3,29.0,8.491985862877904,1.7
2022-08-18 10:52:59.777492,68.4,26.0,8.131459265634662,1.7
2022-08-18 10:52:59.777492,61.9,26.0,7.892292636940756,1.7
2022-08-18 10:52:59.777492,62.3,26.0,7.120651740521483,1.7
2022-08-18 10:52:59.777492,68.4,26.0,8.561508952157054,0.8
2022-08-18 10:52:59.777492,68.4,29.0,7.330895128901794,1.7
2022-08-18 10:52:59.777492,61.9,26.0,8.183519739566458,1.7
2022-08-18 10:52:59.777492,62.3,29.0,7.912456112761804,1.7
2022-08-18 10:52:59.777492,62.3,26.0,8.932342618997835,0.8
2022-08-18 10:52:59.777492,62.3,29.0,8.33725281545567,1.7
2022-08-18 10:52:59.777492,69.3,26.0,8.042341130083276,0.8
2022-08-18 10:52:59.777492,62.3,29.0,8.72698142771109,1.7
2022-08-18 10:52:59.777492,61.9,29.0,8.786346158931043,0.8
2022-08-18 10:52:59.777492,61.9,29.0,8.35297418359946,1.7
2022-08-18 10:52:59.777492,69.3,29.0,8.748341818050562,0.8
2022-08-18 10:52:59.777492,69.3,26.0,8.840965505212335,0.8
2022-08-18 10:52:59.777492,62.3,29.0,7.035198419832848,1.7
2022-08-18 10:52:59.777492,62.3,29.0,7.8857870034902895,1.7
2022-08-18 10:52:59.777492,69.3,29.0,8.997354705506876,0.8
2022-08-18 10:52:59.777492,69.3,26.0,7.594631720110616,1.7
2022-08-18 10:52:59.777492,68.4,29.0,8.152726600362534,1.7
2022-08-18 10:52:59.777492,62.3,26.0,7.8140281067782205,0.8
2022-08-18 10:52:59.777492,61.9,29.0,7.109513739863955,1.7
2022-08-18 10:52:59.777492,68.4,26.0,8.060270969098484,0.8
2022-08-18 10:52:59.777492,69.3,26.0,8.111254514897034,0.8
2022-08-18 10:52:59.777492,62.3,29.0,8.40345261494927,1.7
2022-08-18 10:52:59.777492,62.3,29.0,7.234759753727203,0.8
2022-08-18 10:52:59.777492,68.4,29.0,8.252182466443534,1.7
2022-08-18 10:52:59.777492,68.4,26.0,7.601022580461642,1.7
2022-08-18 10:52:59.777492,62.3,26.0,7.132056497928126,0.8
2022-08-18 10:52:59.777492,68.4,29.0,7.939629457272201,1.7
2022-08-18 10:52:59.777492,68.4,29.0,7.909686476557481,0.8
2022-08-18 10:52:59.777492,69.3,26.0,8.863185646398303,1.7
2022-08-18 10:52:59.777492,61.9,26.0,7.468484755802407,1.7
2022-08-18 10:52:59.777492,61.9,26.0,8.613346410219554,1.7
2022-08-18 10:52:59.777492,68.4,29.0,7.1993806280227215,1.7
2022-08-18 10:52:59.777492,61.9,26.0,8.877436672367828,0.8
2022-08-18 10:52:59.777492,61.9,26.0,8.426661312319489,0.8
2022-08-18 10:52:59.777492,68.4,29.0,8.76138160502511,0.8
2022-08-18 10:52:59.777492,68.4,29.0,8.923411746635614,1.7
2022-08-18 10:52:59.777492,62.3,26.0,8.750875719700431,0.8
2022-08-18 10:52:59.777492,69.3,29.0,8.973763412107473,0.8
2022-08-18 10:52:59.777492,68.4,29.0,7.6960271224186645,0.8
2022-08-18 10:52:59.777492,62.3,26.0,7.701812044758344,1.7
Date,humid,temp,presao,vazao
2022-08-18 10:54:29.883426,68.4,29.0,8.334872852554142,1.7
2022-08-18 10:54:29.883426,68.4,26.0,8.129851627810504,0.8
2022-08-18 10:54:29.883426,69.3,29.0,7.320608116604584,0.8
2022-08-18 10:54:29.883426,69.3,29.0,7.2127355448195605,0.8
2022-08-18 10:54:29.883426,61.9,29.0,8.481174941409899,1.7
2022-08-18 10:54:29.883426,69.3,29.0,7.590649416565795,0.8
2022-08-18 10:54:29.883426,69.3,29.0,8.762671486585415,1.7
2022-08-18 10:54:29.883426,62.3,29.0,8.9623871267316,1.7
2022-08-18 10:54:29.883426,68.4,26.0,8.135465479653613,1.7
2022-08-18 10:54:29.883426,68.4,26.0,8.304861551460935,1.7
2022-08-18 10:54:29.883426,68.4,26.0,8.08149433933422,0.8
2022-08-18 10:54:29.883426,68.4,29.0,8.770395066098123,0.8
2022-08-18 10:54:29.883426,68.4,29.0,7.878532195648631,1.7
2022-08-18 10:54:29.883426,68.4,29.0,7.44134467488705,0.8
2022-08-18 10:54:29.883426,62.3,26.0,7.823174798719661,1.7
2022-08-18 10:54:29.883426,68.4,29.0,8.651287575392844,0.8
2022-08-18 10:54:29.883426,62.3,26.0,7.920017698437691,1.7
2022-08-18 10:54:29.883426,68.4,26.0,7.192618268974917,0.8
2022-08-18 10:54:29.883426,69.3,29.0,7.684080294427513,0.8
2022-08-18 10:54:29.883426,68.4,29.0,7.094508864162261,0.8
2022-08-18 10:54:29.883426,68.4,29.0,7.951972127664134,0.8
2022-08-18 10:54:29.883426,62.3,26.0,8.297843958476482,0.8
2022-08-18 10:54:29.883426,68.4,26.0,7.517642941265346,0.8
2022-08-18 10:54:29.883426,61.9,29.0,7.839424322083,1.7
2022-08-18 10:54:29.883426,68.4,26.0,7.396027489478206,0.8
2022-08-18 10:54:29.883426,69.3,26.0,7.10153898761423,0.8
2022-08-18 10:54:29.883426,61.9,26.0,7.463213104571741,0.8
2022-08-18 10:54:29.883426,62.3,26.0,8.28528584001831,0.8
2022-08-18 10:54:29.883426,69.3,29.0,8.274966169902383,1.7
2022-08-18 10:54:29.883426,69.3,29.0,7.7400073750096805,0.8
2022-08-18 10:54:29.883426,69.3,29.0,7.093691961803042,1.7
2022-08-18 10:54:29.883426,62.3,26.0,8.93668575243673,1.7
2022-08-18 10:54:29.883426,61.9,29.0,7.1261705303974505,1.7
2022-08-18 10:54:29.883426,62.3,26.0,7.022272134945783,1.7
2022-08-18 10:54:29.883426,62.3,29.0,7.812292221666044,0.8
2022-08-18 10:54:29.883426,68.4,26.0,7.176421305282154,1.7
2022-08-18 10:54:29.883426,69.3,29.0,8.636389668508986,0.8
2022-08-18 10:54:29.883426,68.4,29.0,7.839869977678877,1.7
2022-08-18 10:54:29.883426,68.4,26.0,7.3416013309304455,0.8
2022-08-18 10:54:29.883426,69.3,26.0,8.44160865345826,1.7
2022-08-18 10:54:29.883426,61.9,26.0,7.365205128626342,1.7
2022-08-18 10:54:29.883426,68.4,26.0,7.596335063401163,1.7
2022-08-18 10:54:29.883426,69.3,26.0,8.02392233476183,0.8
2022-08-18 10:54:29.883426,62.3,26.0,7.530825135254066,0.8
2022-08-18 10:54:29.883426,69.3,29.0,7.186555478064046,1.7
2022-08-18 10:54:29.883426,69.3,26.0,8.11936072487599,0.8
2022-08-18 10:54:29.883426,61.9,26.0,8.05191870823592,1.7
2022-08-18 10:54:29.883426,69.3,29.0,8.602284110698992,0.8
2022-08-18 10:54:29.883426,69.3,29.0,8.090653513639946,1.7
2022-08-18 10:54:29.883426,68.4,29.0,8.159018071152362,1.7
Date,humid,temp,presao,vazao
2022-08-18 10:56:00.101813,69.3,26.0,7.784039594612932,0.8
2022-08-18 10:56:00.101813,62.3,29.0,7.8617000050700945,0.8
2022-08-18 10:56:00.101813,68.4,29.0,8.3432834012994,1.7
2022-08-18 10:56:00.101813,68.4,29.0,8.35873913937668,1.7
2022-08-18 10:56:00.101813,61.9,26.0,7.915154393730189,0.8
2022-08-18 10:56:00.101813,62.3,26.0,8.92094369339473,0.8
2022-08-18 10:56:00.101813,61.9,26.0,7.435856324254176,0.8
2022-08-18 10:56:00.101813,61.9,26.0,7.332436429439162,1.7
2022-08-18 10:56:00.101813,68.4,29.0,8.061648855473464,1.7
2022-08-18 10:56:00.101813,69.3,29.0,7.781262680635896,1.7
2022-08-18 10:56:00.101813,69.3,26.0,8.660644416228658,0.8
2022-08-18 10:56:00.101813,69.3,29.0,8.031209023557524,1.7
2022-08-18 10:56:00.101813,68.4,29.0,7.883907680762617,0.8
2022-08-18 10:56:00.101813,62.3,26.0,7.05371462330773,0.8
2022-08-18 10:56:00.101813,61.9,26.0,8.361563875920163,1.7
2022-08-18 10:56:00.101813,68.4,29.0,7.762023818833476,0.8
2022-08-18 10:56:00.101813,62.3,29.0,8.074699039358357,0.8
2022-08-18 10:56:00.101813,68.4,29.0,8.92525541650755,1.7
2022-08-18 10:56:00.101813,62.3,29.0,8.18833324332444,1.7
2022-08-18 10:56:00.101813,62.3,26.0,8.130910127386365,0.8
2022-08-18 10:56:00.101813,61.9,26.0,7.54781441107237,1.7
2022-08-18 10:56:00.101813,62.3,26.0,7.2154972176872505,1.7
2022-08-18 10:56:00.101813,61.9,29.0,8.76457952631254,1.7
2022-08-18 10:56:00.101813,69.3,26.0,8.037120499024635,1.7
2022-08-18 10:56:00.101813,61.9,26.0,7.451474082548414,0.8
2022-08-18 10:56:00.101813,68.4,29.0,8.775253743883885,1.7
2022-08-18 10:56:00.101813,61.9,26.0,8.966421501933937,1.7
2022-08-18 10:56:00.101813,69.3,26.0,7.236776959002499,0.8
2022-08-18 10:56:00.101813,69.3,26.0,7.785652965229692,0.8
2022-08-18 10:56:00.101813,62.3,26.0,8.518478710135266,0.8
2022-08-18 10:56:00.101813,61.9,29.0,8.774749829039916,1.7
2022-08-18 10:56:00.101813,62.3,26.0,7.182635189719155,0.8
2022-08-18 10:56:00.101813,68.4,26.0,8.500771162714084,1.7
2022-08-18 10:56:00.101813,62.3,26.0,7.836870209156072,0.8
2022-08-18 10:56:00.101813,68.4,26.0,8.427255282034595,0.8
2022-08-18 10:56:00.101813,61.9,29.0,8.645697754103027,1.7
2022-08-18 10:56:00.101813,69.3,29.0,7.864000136320847,0.8
2022-08-18 10:56:00.101813,62.3,29.0,7.4441583180760045,0.8
2022-08-18 10:56:00.101813,61.9,29.0,7.251401300525133,0.8
2022-08-18 10:56:00.101813,61.9,29.0,7.084190106363524,1.7
2022-08-18 10:56:00.101813,68.4,26.0,7.958569489726036,0.8
2022-08-18 10:56:00.101813,68.4,26.0,8.959495344695156,1.7
2022-08-18 10:56:00.101813,62.3,26.0,7.284237318639075,0.8
2022-08-18 10:56:00.101813,61.9,26.0,8.472036522988478,1.7
2022-08-18 10:56:00.101813,68.4,26.0,7.655602392986368,1.7
2022-08-18 10:56:00.101813,62.3,29.0,8.942416510289425,1.7
2022-08-18 10:56:00.101813,62.3,26.0,7.429059170838972,0.8
2022-08-18 10:56:00.101813,68.4,29.0,8.162645816948293,0.8
2022-08-18 10:56:00.101813,68.4,29.0,7.7152720216147195,1.7
2022-08-18 10:56:00.101813,62.3,26.0,8.785470642149157,0.8
Date,humid,temp,presao,vazao
2022-08-18 10:57:30.168958,62.3,26.0,8.615266737483076,0.8
2022-08-18 10:57:30.168958,69.3,26.0,7.136158128540177,1.7
2022-08-18 10:57:30.168958,62.3,26.0,7.532678306465308,1.7
2022-08-18 10:57:30.168958,62.3,26.0,7.551910084483091,1.7
2022-08-18 10:57:30.168958,68.4,26.0,8.977226300839106,1.7
2022-08-18 10:57:30.168958,62.3,26.0,8.599288121738724,1.7
2022-08-18 10:57:30.168958,61.9,29.0,7.868994011892433,1.7
2022-08-18 10:57:30.168958,62.3,26.0,7.079727929169122,1.7
2022-08-18 10:57:30.168958,62.3,29.0,8.291751702485108,0.8
